Windows PowerShell
Copyright (C) Microsoft Corporation. All rights reserved.

Install the latest PowerShell for new features and improvements! https://aka.ms/PSWindows

PS C:\WINDOWS\system32> cd E:\batteryclaw
PS E:\batteryclaw> python simulator\train.py --steps 5000000
BatteryClaw — Train PPO Agent
==================================================
[1] Khoi tao 8 environments song song...
[2] Khoi tao PPO model...
[3] Train 5,000,000 steps...
    n_envs      = 8
    batch_size  = 512
    net_arch    = [256, 256]


  >>> Phase 1/4 | difficulty=1 | 600,000 steps
  Steps:  25,000 | FPS:  1082 | Mean reward:  193.49 | Elapsed: 23s
  Steps:  50,000 | FPS:   948 | Mean reward:  211.64 | Elapsed: 53s
  Steps:  75,000 | FPS:   994 | Mean reward:  221.99 | Elapsed: 75s
  Steps: 100,000 | FPS:  1007 | Mean reward:  228.26 | Elapsed: 99s
  Steps: 125,000 | FPS:  1058 | Mean reward:  238.28 | Elapsed: 118s
  Steps: 150,000 | FPS:  1046 | Mean reward:  252.36 | Elapsed: 143s
  Steps: 175,000 | FPS:  1088 | Mean reward:  256.41 | Elapsed: 161s
  Steps: 200,000 | FPS:  1078 | Mean reward:  260.68 | Elapsed: 186s
  Steps: 225,000 | FPS:  1112 | Mean reward:  266.46 | Elapsed: 202s
  Steps: 250,000 | FPS:  1114 | Mean reward:  274.69 | Elapsed: 224s
  Steps: 275,000 | FPS:  1137 | Mean reward:  276.75 | Elapsed: 242s
  Steps: 300,000 | FPS:  1139 | Mean reward:  286.99 | Elapsed: 263s
  Steps: 325,000 | FPS:  1160 | Mean reward:  291.51 | Elapsed: 280s
  Steps: 350,000 | FPS:  1155 | Mean reward:  296.76 | Elapsed: 303s
  Steps: 375,000 | FPS:  1172 | Mean reward:  299.33 | Elapsed: 320s
  Steps: 400,000 | FPS:  1160 | Mean reward:  306.62 | Elapsed: 345s
  Steps: 425,000 | FPS:  1174 | Mean reward:  306.93 | Elapsed: 362s
  Steps: 450,000 | FPS:  1172 | Mean reward:  316.19 | Elapsed: 384s
  Steps: 475,000 | FPS:  1183 | Mean reward:  309.26 | Elapsed: 402s
  Steps: 500,000 | FPS:  1180 | Mean reward:  312.65 | Elapsed: 424s
  Steps: 525,000 | FPS:  1178 | Mean reward:  311.35 | Elapsed: 446s
  Steps: 550,000 | FPS:  1189 | Mean reward:  316.70 | Elapsed: 463s
  Steps: 575,000 | FPS:  1186 | Mean reward:  314.32 | Elapsed: 485s
  Steps: 600,000 | FPS:  1189 | Mean reward:  316.63 | Elapsed: 504s

  >>> Phase 2/4 | difficulty=2 | 1,650,000 steps
  Steps: 625,000 | FPS:  1187 | Mean reward:  317.45 | Elapsed: 527s
  Steps: 650,000 | FPS:  1194 | Mean reward:  297.63 | Elapsed: 544s
  Steps: 675,000 | FPS:  1192 | Mean reward:  347.28 | Elapsed: 566s
  Steps: 700,000 | FPS:  1200 | Mean reward:  295.54 | Elapsed: 583s
  Steps: 725,000 | FPS:  1197 | Mean reward:  273.54 | Elapsed: 606s
  Steps: 750,000 | FPS:  1204 | Mean reward:  342.36 | Elapsed: 623s
  Steps: 775,000 | FPS:  1202 | Mean reward:  447.76 | Elapsed: 645s
  Steps: 800,000 | FPS:  1203 | Mean reward:  183.05 | Elapsed: 665s
