08:50:49 [RL] ONNX model loaded: E:\batteryclaw\dist\BatteryClaw_business\models\batteryclaw_policy.onnx
08:50:49 [RL]   Input : ['batch', 15]
08:50:49 [RL]   Output: ['batch', 7]
08:50:49 [RL] [Phase 3] Online learning ON (state: C:\Users\ADMIN\AppData\Roaming\BatteryClaw\state)
08:50:49 [RL] BatteryClaw RL Brain starting
08:50:49 [RL] Wake interval: 10.0s
08:50:49 [RL]   Waiting for engine... (1/10, retry in 1.1s)
08:50:50 [RL]   Waiting for engine... (2/10, retry in 2.0s)
08:50:53 [RL]   Waiting for engine... (3/10, retry in 4.2s)
08:50:57 [RL] Pipe connected (attempt 4)
08:50:57 [RL] Ready. Controlling...
08:50:57 [RL] ------------------------------------------------------------
08:50:57 [RL] Step    1 | Batt:87.0% | CPU:17.0% @20% | Br:30% | GPU:dGPU->sw0 | 60Hz->m2 | Disch:10709mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:0mWh
08:51:07 [RL] Step    2 | Batt:87.0% | CPU:11.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:10709mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:30mWh
08:51:17 [RL] Step    3 | Batt:87.0% | CPU:12.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:24749mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:30mWh
08:51:27 [RL] Step    4 | Batt:87.0% | CPU: 2.2% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8254mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:30mWh
08:51:37 [RL] Step    5 | Batt:87.0% | CPU: 1.9% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8254mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:53mWh
08:51:47 [RL] Step    6 | Batt:87.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8671mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:53mWh
08:51:57 [RL] Step    7 | Batt:87.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8671mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:77mWh
08:52:07 [RL] Step    8 | Batt:86.0% | CPU: 2.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8611mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:77mWh
08:52:17 [RL] Step    9 | Batt:86.0% | CPU: 3.1% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8611mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:101mWh
08:52:27 [RL] Step   10 | Batt:86.0% | CPU: 3.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:101mWh
08:52:37 [RL] Step   11 | Batt:86.0% | CPU: 2.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:123mWh
08:52:47 [RL] Step   12 | Batt:86.0% | CPU: 1.5% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:146mWh
08:52:57 [RL] Step   13 | Batt:86.0% | CPU: 1.8% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:168mWh
08:53:07 [RL] Step   14 | Batt:86.0% | CPU: 1.3% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:191mWh
08:53:17 [RL] Step   15 | Batt:86.0% | CPU: 1.6% @24% | Br:31% | GPU:dGPU->sw0 | 144Hz->m2 | Disch:8132mW | Temp:40C | BATTERY | App:BatteryClaw.ex | Saved:214mWh
